,Hindi,Sanskrit
696,"हैदराबाद के बोयिनपल्ली में, एक स्थानीय सब्जी मंडी, किस तरह, अपने दायित्व को निभा रही है, ये पढ़कर भी मुझे बहुत अच्छा लगा |","हैदराबादस्य बोयिनपल्लीक्षेत्रे, एका स्थानीया शाकान्न-विपणी कथं नैजं दायित्वं निर्वहति - इदं पठित्वा मया आनन्दसन्दोहः अनुभूतः।"
697,हम सबने देखा है कि सब्जी मंडियों में अनेक वजहों से काफी सब्जी खराब हो जाती है |,अस्माभिः दृष्टं यत् शाकान्न-विपणीषु बहुविधैः कारणैः शाकान्नं दूषितं भवति।
698,"ये सब्जी इधर-उधर फैलती है, गंदगी भी फैलाती हैं लेकिन, बोयिनपल्ली की सब्जी मंडी ने तय किया कि, हर रोज बचने वाली इन सब्जियों को ऐसे ही फेंका नहीं जाएगा |","इदं शाकान्नं च इतस्ततः प्रसृतं भवति, अवकरं च प्रसारयति परं बोयनपल्लीक्षेत्रस्य शाकान्न-विपण्या निश्चितं यत् प्रतिदिनम् अवशिष्टं शाकान्नम् एवमेव इतस्ततः न प्रक्षेपणीयम्।"
699,"सब्जी मंडी से जुड़े लोगों ने तय किया, इससे, बिजली बनाई जाएगी |",शाकान्न-विपणी-सम्बद्धजनैः निर्धारितं यदनेन अवशिष्टेन शाकान्नेन विद्युन्निर्माणं कर्तव्यम्।
700,बेकार हुई सब्जियों से बिजली बनाने के बारे में शायद ही आपने कभी सुना हो - यही तो innovation की ताकत है |,अवशिष्ट-शाकेभ्यः विद्युन्निर्माणविषये कदाचिदेव भवता श्रुतं स्यात् – इयमेवास्ति नवाचारस्य शक्तिः।
701,"आज बोयिनपल्ली की मंडी में पहले जो waste था, आज उसी से wealth create हो रही है - यही तो कचरे से कंचन बनाने की यात्रा है |",अद्य बोयिनपल्लीक्षेत्रस्य शाकान्न-विपण्यां पूर्वं यदवशिष्टमासीत् तेन सम्पत्-रक्षणं विधीयतेइयमेवास्ति अवकरात् कञ्चननिर्माणस्य यात्रा।
702,"वहाँ हर दिन करीब 10 टन waste निकलता है, इसे एक प्लांट में इकठ्ठा कर लिया जाता है |","तत्र प्रतिदिनं दशटनपरिमितः अवकरः जायते, सः अवकरः एकस्मिन् संयन्त्रे संस्थाप्यते, ।"
703,"Plant के अंदर इस waste से हर दिन 500 यूनिट बिजली बनती है, और करीब 30 किलो bio fuel भी बनता है |","ततः अवकरात् प्रतिदिनं ५००-यूनिट-मितं विद्युन्निर्माणं भवति । अथ च, आहत्य ३०-किलोपरिमितं जैवेन्धनमपि निर्मीयते।"
704,"इस बिजली से ही सब्जी मंडी में रोशनी होती है, और, जो, bio fuel बनता है, उससे, मंडी की कैंटीन में खाना बनाया जाता है - है न कमाल का प्रयास!ऐसा ही एक कमाल, हरियाणा के पंचकुला की बड़ौत ग्राम पंचायत ने भी करके दिखाया है |","अनया विद्युदा एव शाकान्न-विपण्यां प्रकाशो भवति, तथा च जैवेन्धनं भवति, तेन च शाकान्न-विपण्याः आहारनिलये भोजनं निर्मीयते – अप्यस्ति प्रशस्यः प्रयासोsयं ननु? एवमेव प्रसङ्गः, हरियाणाराज्यस्य पंचकुलाजनपदस्य बड़ौत-ग्राम-पंचायतेनापि कृतः।"
705,इस पंचायत के क्षेत्र में पानी की निकासी की समस्या थी |,"अस्मिन् पंचायतक्षेत्रे जलनिकास-समस्या आसीत्, ।"
706,"इस वजह से गंदा पानी इधर-उधर फैल रहा था, बीमारी फैलाता था, लेकिन, बड़ौत के लोगों ने तय किया कि इस water waste से भी wealth create करेंगे |","एतस्मात् कारणात् दूषितं जलम् इतस्ततः प्रसरति स्म, रोगान् च जनयति स्म, परं च बड़ौत-वासिभिः निश्चितं यत् दूषितजलादपि सम्पत्-रक्षण-प्रयोगं करिष्यामः इति । "
707,"ग्राम पंचायत ने पूरे गाँव से आने वाले गंदे पानी को एक जगह इकठ्ठा करके filter करना शुरू किया, और filter किया हुआ ये पानी, अब गाँव के किसान, खेतों में सिंचाई के लिए इस्तेमाल कर रहे हैं, यानी, प्रदूषण, गंदगी और बीमारियों से छुटकारा भी, और खेतों में सिंचाई भी |","ग्रामपंचायतेन सम्पूर्णग्रामस्य जलम् एकत्रितं कृत्वा निर्मलीकरणं प्रारब्धम् । इदानीं निर्मलं जलं कृषकैः सेचनकार्येषु उपयुज्यतेअर्थात् प्रदूषणात् अस्वच्छतायाः रोगेभ्यश्च मुक्तिः अपि, युगपद् एव कृषिसेचनमपि।"
708,"साथियो, पर्यावरण की रक्षा से कैसे आमदनी के रास्ते भी खुलते हैं, इसका एक उदाहरण अरुणाचल प्रदेश के तवांग में भी देखने को मिला |","सखायः, पर्यावरणसंरक्षणेन कथं आयस्रोतांस्यपि उद्घाटितानि भवन्ति, एतस्य एकम् उदाहरणं अरुणाचलस्य तवांगक्षेत्रे अपि दृश्यते।"
709,अरुणाचल प्रदेश के इस पहाड़ी इलाके में सदियों से ‘मोन शुगु’ नाम का एक पेपर बनाया जाता है |,अरुणाचलस्यास्मिन् पार्वत्यक्षेत्रे शीतर्तौ ‘मोन-शुगु’ नामकः कर्गदः उत्पाद्यते।
710,"ये कागज यहाँ के स्थानीय शुगु शेंग नाम के एक पौधे की छाल से बनाते हैं, इसलिए, इस कागज को बनाने के लिए पेड़ों को नहीं काटना पड़ता है |",कर्गदमेनम् अत्रत्याः स्थानीयाः ‘शुगु-शेंग’ इतिनामकेन पादपवल्कलेन कल्पयन्तिएतत्कृते वृक्षच्छेदनस्यावश्यकता न भवति।
711,"इसके अलावा, इसे बनाने में किसी chemical का इस्तेमाल भी नहीं होता है, यानी, ये कागज पर्यावरण के लिए भी सुरक्षित है, और स्वास्थ्य के लिए भी |",अस्य निर्माणे च कस्यचिद्रसायनस्य प्रयोगोsपि नैव विधीयतेएवमयं कर्गदः पर्यावरणेन साकं स्वास्थ्यस्यापि कृते सुरक्षितो भवति।
712,"एक वो भी समय था, जब, इस कागज का निर्यात होता था, लेकिन, जब आधुनिक तकनीक से बड़ी मात्रा में कागज बनने लगे, तो, ये स्थानीय कला, बंद होने की कगार पर पहुँच गई |","कस्मिंश्चित्समये अस्य कर्गदस्य निर्यातः भवति स्म, परमधुना कर्गदानां प्रभूतोत्पादन-कारणेनैषा स्थानीयकला विलुप्तप्राया संजाता।"
713,"अब एक स्थानीय सामाजिक कार्यकर्ता गोम्बू ने इस कला को पुनर्जीवित करने का प्रयास किया है, इससे, यहाँ के आदिवासी भाई-बहनों को रोजगार भी मिल रहा है |",साम्प्रतमेकेन स्थानीयसामाजिक-कार्यकर्त्रा गोम्बु-इत्यनेन अस्याः कलायाः पुनरुज्जीवनाय प्रयासः आरब्धःअनेन अत्रत्येभ्यः आदिवासिजनेभ्यः जीविकापि लभ्यते।
714,"मैंने एक और खबर केरल की देखी है, जो, हम सभी को अपने दायित्वों का एहसास कराती है |",अन्यमेकं वृत्तं मया केरलविषयेऽपि श्रुतं यद्धि अस्मास्वपि दायित्यभावं जनयति।
715,केरल के कोट्टयम में एक दिव्यांग बुजुर्ग हैं - एन.एस.राजप्पन साहब |,केरलस्य कोट्टायमक्षेत्रे दिव्यांगवृद्धः एन्.एस्.राजप्पनवर्यः वसति।
716,"राजप्पन जी paralysis के कारण चलने में असमर्थ हैं, लेकिन इससे, स्वच्छता के प्रति उनके समर्पण में कोई कमी नहीं आई है |",वरीयः राजप्पनः पक्षाघातकारणेन चलने असमर्थः । परमेतेन स्वच्छतां प्रति समर्पणे तस्य काचिदपि शिथिलता न दृश्यते।
717,"वो, पिछले कई सालों से नाव से वेम्बनाड झील में जाते हैं और झील में फेंकी गई प्लास्टिक की बोतलें बाहर निकाल करके ले आते हैं |","असौ विगतानेकवर्षेभ्यः समीपवर्तिनं वेम्बनाड-जलाशयं गच्छति, तस्मिन् क्षिप्ताश्च कृतककूपीः बहिरानयति।"
718,"सोचिये, राजप्पन जी की सोच कितनी ऊँची है |","क्षणं चिन्तयन्तु, राजप्पन्-महोदयस्य विचाराः कियदुन्नताः सन्ति?"
719,"हमें भी, राजप्पन जी से प्रेरणा लेकर, स्वच्छता के लिए, जहां संभव हो, अपना योगदान देना चाहिए |",अस्माभिरपि राजप्पन्-महोदयस्य उत्प्रेरणेन स्वच्छतायाः कृते स्वीयं यावत्संभवं योगदानं नूनं कर्तव्यम्।
720,"मेरे प्यारे देशवासियो, कुछ दिन पहले आपने देखा होगा, अमेरिका के San Francisco से बैंगलुरू के लिए एक non-stop flight की कमान भारत की चार women pilots ने संभाली |","प्रियाः देशवासिनः, कतिपयेभ्यः दिनेभ्यः पूर्वं, भवद्भिः दृष्टं स्याद्यत् अमेरिकादेशस्य सैन्-फ्रांसिस्कोतः बैङ्गलुरुं यावदेकस्याः अजस्रवायुसेवायाः संचालनं भारतस्य चतसृभिः महिला-विमानचालिकाभिः सम्पादितम्।"
721,दस हजार किलोमीटर से भी ज्यादा लंबा सफ़र तय करके ये flight सवा दो-सौ से अधिक यात्रियों को भारत लेकर आई |,दशसहस्रतोsप्यधिक-किलोमीटरमितां यात्रां विधाय विमानसेवैषा द्विशताधिक-यात्रिभिः साकं भारतमागता।
722,"आपने इस बार 26 जनवरी की परेड में भी गौर किया होगा, जहां, भारतीय वायुसेना की दो women officers ने नया इतिहास रच दिया है |",भवद्भिः अस्मिन्वर्षे गणतन्त्रदिवसीय-सामूहिक-प्रयाणेऽपि दृष्टं स्याद्यत् वायुसेनानां महिला-विमानचालिकाभ्यां इतिहासो विरचितः।
723,"क्षेत्र कोई भी हो, देश की महिलाओं की भागीदारी लगातार बढ़ रही है, लेकिन, अक्सर हम देखते हैं, कि, देश के गाँवों में हो रहे इसी तरह के बदलाव की उतनी चर्चा नहीं हो पाती, इसलिए, जब मैंने एक खबर मध्य प्रदेश के जबलपुर की देखी, तो मुझे लगा कि इसका जिक्र तो मुझे ‘मन की बात’ में जरुर करना चाहिए |","क्षेत्रन्तु किञ्चिदपि भवेत्, देशस्य महिलानां सहभागः सर्वत्रैवाभिवर्धतेपरं वयमनुभवामः यद्देशस्य ग्रामीणक्षेत्रेषु भूयमानानां एतादृक्-परिवर्तनानां चर्चा अल्पतरा जायते- एतत्कृत्वा यदाऽहं मध्यप्रदेशस्य जबलपुरस्यैकं वृत्तमपश्यं तावन्मया चिन्तितं यदस्य चर्चा तु मया ‘मनकीबात’-प्रसारणे अवश्यमेव कर्तव्या।"
724,ये खबर बहुत प्रेरणा देने वाली है |,एषा हि अतीव प्रेरणास्पदं वृत्तमस्ति।
725,जबलपुर के चिचगांव में कुछ आदिवासी महिलाएं एक rice mill में दिहाड़ी पर काम करती थीं |,जबलपुरस्य चिचगांव-क्षेत्रे कतिपयमहिलाः तण्डुलयन्त्रालये दैनिकाधारेण वृतिमर्जयन्ति स्म।
726,"कोरोना वैश्विक महामारी ने जिस तरह दुनिया के हर व्यक्ति को प्रभावित किया, उसी तरह, ये महिलाएं भी प्रभावित हुईं |","कोरोना-महारोगेण यथा विश्वस्य प्रत्येकं जनः दुष्प्रभावितः, तथैवेताः अपि जाताः।"
727,उनकी rice mill में काम रुक गया |,यन्त्रालये कार्यं निरुद्धं ।
728,"स्वाभाविक है कि इससे आमदनी की भी दिक्कत आने लगी, लेकिन ये निराश नहीं हुईं, इन्होंने, हार नहीं मानी |",येन तासामायः पिनद्धः। परमेताः निराशास्तु नैव जाताः। 
729,"इन्होंने तय किया, कि, ये साथ मिलकर अपनी खुद की rice mill शुरू करेंगी |",अपितु स्वकीयमेकं तण्डुलयन्त्रालयं स्थापयितुं ताभिः संकल्पितम्।
730,"जिस मिल में ये काम करती थीं, वो अपनी मशीन भी बेचना चाहती थी |",तासां यन्त्रालयः चापि स्वीयोपकरणानि विक्रेतुमिच्छुकः आसीत्।
731,"इनमें से मीना राहंगडाले जी ने सब महिलाओं को जोड़कर ‘स्वयं सहायता समूह’ बनाया, और सबने अपनी बचाई हुई पूंजी से पैसा जुटाया, |","महिलासु मीना-राहंगडाले- इत्यनया सर्वाभिः महिलाभिः सम्भूय ‘स्वयंसहायता- समूहः’ संघटितः, स्वीयसंरक्षितधनेन च पुञ्जिनियोजनं सम्पादितम्।"
732,"जो पैसा कम पड़ा, उसके लिए ‘आजीविका मिशन’ के तहत बैंक से कर्ज ले लिया, और अब देखिये, इन आदिवासी बहनों ने वही rice mill खरीद ली, जिसमें वो कभी काम किया करती थीं |",वांछित-धनस्य कृते ‘आजीविका’-कार्यक्रमान्तर्गतं धनागारात् ऋणमादाय आत्मनः यन्त्रालयः स्थापितः।
733,आज वो अपनी खुद की rice mill चला रही हैं |,एताः महिलाः साम्प्रतं स्वकीये तण्डुलयन्त्रालये कार्यं कुर्वन्ति।
734,इतने ही दिनों में इस mill ने करीब तीन लाख रूपये का मुनाफ़ा भी कमा लिया है |,एतेषु दिनेषु यन्त्रालयेन प्रायेण त्रिलक्षरूप्यकाणां लाभः अर्जितः।
735,"इस मुनाफे से मीना जी और उनकी साथी, सबसे पहले, बैंक का लोन चुकाने और फिर अपने व्यापार को बढ़ाने के लिए तैयारी कर रही हैं |","एतल्लाभेन मीनामहोदया प्रथमं धनागारस्य ऋणशोधने, अनन्तरञ्च व्यापारसंवर्धनाय सन्नद्धा वर्तते।"
736,"कोरोना ने जो परिस्थितियां बनाईं, उससे मुकाबले के लिए देश के कोने-कोने में ऐसे अद्भुत काम हुए हैं |",कोरोनारोगेणोत्पादितासु विकटपरिस्थितिषु देशस्य प्रत्येकमपि भागे एतादृशाः अद्भुतप्रयासाः सम्पादिताः।
737,"मेरे प्यारे देशवासियो, अगर मैं आपसे बुदेलखंड के बारे में बात करूँ तो वो कौन सी चीजें हैं, जो आपके मन में आएंगी!","मम प्रियाः देशवासिनः, यद्यहं बुन्देलखण्डविषये चर्चां करोमि, तर्हि कीदृग्विधाः विषयाः मनसि समुद्भवन्ति?"
738,इतिहास में रूचि रखने वाले लोग इस क्षेत्र को झांसी की रानी लक्ष्मीबाई के साथ जोड़ेंगे |,इतिहासोत्कण्ठिताः जनाः एतत्क्षेत्रं झांसीराज्ञ्या लक्ष्मीबाई-इत्यनया संयोजयिष्यन्ति।
739,"वहीँ, कुछ लोग सुन्दर और शांत ‘ओरछा’ के बारे में सोचेंगे |",तत्रैव केचन जनाः सुन्दरं शान्तं च ओरछाविषयं चिन्तयिष्यन्ति।
740,"कुछ लोगों को इस क्षेत्र में पड़ने वाली अत्यधिक गर्मी की भी याद आ जाएगी, लेकिन, इन दिनों, यहाँ, कुछ अलग हो रहा है, जो, काफी उत्साहवर्धक है, और जिसके बारे में, हमें, जरुर जानना चाहिए |","अन्ये चैतत्क्षेत्रस्य भीषणनिदाघमपि स्मर्तुमर्हन्तिपरं विगतदिनेषु अत्र किंचिद्वि- लक्षणं उत्साहवर्धकं च सम्पाद्यते, यस्य विषये अस्माभिः अवश्यमेव ज्ञातव्यम्।"
741,पिछले दिनों झांसी में एक महीने तक चलने वाला ‘Strawberry Festival’ शुरू हुआ |,गतदिवसेषु झांसीक्षेत्रे एकमासात्मकं ‘स्ट्राबेरी-फेस्टिवल’ इति मेलकमारब्धम्।
742,हर किसी को आश्चर्य होता है – Strawberry और बुंदेलखंड!,एतच्छ्रुत्वा प्रत्येकमपि ‘‘बुन्देलखण्डे स्ट्राबेरी!!” इति चिन्तयत् नूनमाश्चर्यमनुभविष्यति।
743,"लेकिन, यही सच्चाई है |",परमिदमेव साम्प्रतं सत्यमस्ति।
744,"अब बुंदेलखंड में Strawberry की खेती को लेकर उत्साह बढ़ रहा है, और, इसमें बहुत बड़ी भूमिका निभाई है, झाँसी की एक बेटी – गुरलीन चावला ने |",बुन्देलखण्डे अधुना स्ट्राबेरीफलानां उत्पादनाकर्षणं वर्धमानमस्तिअस्मिन्परिवर्तने झांसीपुत्र्या गुरलीनचावला-इत्यनया महती भूमिका निर्व्यूढास्ति।
745,law की छात्रा गुरलीन ने पहले अपने घर पर और फिर अपने खेत में Strawberry की खेती का सफल प्रयोग कर ये विश्वास जगाया है कि झाँसी में भी ये हो सकता है |,"विधिछात्रया गुरलीनेन प्रथमं स्वीयगृहे, तदनु च क्षेत्रेषु स्ट्राबेरी-उत्पादनस्य सफलप्रयोगेन विश्वासः उत्पादितः यदस्मिन्क्षेत्रेऽप्येतत् सम्भवमस्ति इति।"
746,झाँसी का ‘Strawberry festival’ Stay At Home concept पर जोर देता है |,झांस्याः ‘स्ट्राबेरी फेस्टिवल’ - इति मेलकं ‘स्टे एट होम’ इति सन्दर्भे आधारितमस्ति।
747,"इस महोत्सव के माध्यम से किसानों और युवाओं को अपने घर के पीछे खाली जगह पर, या छत पर Terrace Garden में बागवानी करने और strawberries उगाने के लिए प्रोत्साहित किया जा रहा है |",एतन्माध्यमेन कृषकाः युव- जनाश्च स्वीयगृहपृष्ठेसु छदिषु गृहोपरि-उद्यानेषु च स्ट्राबेरी-उत्पादनाय प्रोत्साहिताः जायन्ते।
748,"नई technology की मदद से ऐसे ही प्रयास देश के अन्य हिस्सों में भी हो रहे हैं, जो Strawberry, कभी, पहाड़ों की पहचान थी, वो अब, कच्छ की रेतीली जमीन पर भी होने लगी है, किसानों की आय बढ़ रही है |","नूतन-प्रविधीनां साहाय्येन देशस्य अन्यभागेष्वपि एतादृग्प्रयासाः सम्पाद्यमानाः सन्ति, येन स्ट्राबेरीफलं यद्धि पार्वत्यक्षेत्राणामभिज्ञानमवर्तत; साम्प्रतं कच्छक्षेत्रस्य सिकतास्वपि उत्पाद्यते, कृषकेभ्यः चार्थलाभं अभिवर्धयन्ति।"
749,"साथियो, Strawberry Festival जैसे प्रयोग Innovation की Spirit को तो प्रदर्शित करते ही हैं, साथ ही यह भी दिखाते हैं, कि, हमारे देश का कृषि क्षेत्र, कैसे, नई technology को अपना रहा है |","सखायः! ‘स्ट्राबेरी फेस्टिवल’-सदृशाः प्रयोगाः नवाचारभावं तु प्रदर्शयन्ति, युगपदेव प्रदर्शयन्ति यदस्माकं देशे कृषिक्षेत्रमपि केन प्रकारेण नूतनं प्रविधिं स्वीकरोति।"
750,"साथियो, खेती को आधुनिक बनाने के लिए सरकार प्रतिबद्ध है और अनेक कदम उठा भी रही है |","सखायः, कृषिक्षेत्रम् आधुनिकं कर्तुं सर्वकारः प्रतिबद्धः, एतस्य च कृते अनेके निर्णयाः समाचरिताः।"
751,सरकार के प्रयास आगे भी जारी रहेंगे |,सर्वकारस्य एतादक्प्रयासाः अनागतेऽपि सम्प्रवर्तिताः भविष्यन्ति।
752,"मेरे प्यारे देशवासियो, कुछ ही दिन पहले मैंने एक वीडियो देखा |","मम प्रियाः देशवासिनः, कतिपय-दिनपूर्वं मया एकं चलदृश्यांकनं वीक्षितम्।"
753,वह वीडियो पश्चिम बंगाल के वेस्ट मिदनापुर स्थित ‘नया पिंगला’ गाँव के एक चित्रकार सरमुद्दीन का था |,चलच्चित्रमिदं पश्चिमबंगालस्य पश्चिमीय-मिदनापुरस्थितस्य नया-पिंगलाग्रामस्य चित्रकारस्य सरमुद्दीनस्य आसीत्।
754,वो प्रसन्नता व्यक्त कर रहे थे कि रामायण पर बनाई उनकी painting दो लाख रुपये में बिकी है |,असौ प्रसन्नतां प्रकटयति स्म यत् रामायणाधृतं तस्य चित्रं द्विलक्षरूप्यक-मूल्येन विक्रीतम्।
755,इससे उनके गांववालों को भी काफी खुशी मिली है |,एतेन तस्य ग्रामजनाः अपि अतिप्रसन्नाः अभवन्।
756,इस वीडियो को देखने के बाद मुझे इसके बारे में और अधिक जानने की उत्सुकता हुई |,चलच्चित्रदर्शनानन्तरमहं तस्मिन्विषये अधिकतरं ज्ञातुं उत्सुकः अभवम्।
757,"इसी क्रम में मुझे पश्चिम बंगाल से जुड़ी एक बहुत अच्छी पहल के बारे में जानकारी मिली, जिसे, मैं, आपसे साथ जरुर साझा करना चाहूंगा |",अस्मिन्क्रमे मया पश्चिमबंगालसम्बद्धा प्रशंसार्हा एका परम्पराऽभिज्ञाता या भवद्भिः साकमत्र संविभाज्यते।
758,पर्यटन मंत्रालय के regional office ने महीने के शुरू में ही बंगाल के गाँवों में एक ‘Incredible India Weekend Gateway’ की शुरुआत की |,पर्यटनमन्त्रालयस्य स्थानीय-कार्यालयेन मासारम्भे एव बंगालस्य ग्रामेषु ‘इन्क्रेडिबल-इण्डिया-वीकेण्ड-गेटवे’ इत्यस्य आयोजनं विहितम्।
759,"इसमें पश्चिम मिदनापुर, बांकुरा, बीरभूम, पुरुलिया, पूर्व बर्धमान, वहाँ के हस्तशिल्प कलाकारों ने visitors के लिये Handicraft Workshop आयोजित की |",अस्यान्तर्गतं पश्चिम-मिदनापुर- बांकुरा-बीरभूम-पुरुलिया-पूर्ववर्धमानेति क्षेत्राणां हस्तशिल्पकारैः प्रेक्षकाणां कृते हस्तशिल्पकार्यशालाः आयोजिताः।
760,"मुझे यह भी बताया गया कि Incredible India Weekend Getaways के दौरान handicrafts की जो कुल बिक्री हुई, वो हस्त शिल्पकारों को बेहद प्रोत्साहित करने वाली है |",अहं सूचितोस्मि यत् अस्मिन्नायोजने हस्तकलोत्पादानां विक्रयेण या राशिः अर्जिता सा हि शिल्पकारेभ्यः उत्साहप्रदास्ति।
761,देशभर में लोग भी नए-नए तरीकों से हमारी कला को लोकप्रिय बना रहे हैं |,अखिलेsपि देशे अन्येऽपि जनाः अस्माकं कलासम्पदां लोकप्रियां कर्तुं यतन्ते।
762,ओडिशा के राउरकेला की भाग्यश्री साहू को देख लीजिए |,एतेषु ओडिशाराज्यस्य राउरकेला-निवासिनी भाग्यश्री-साहूः अप्यस्ति।
763,"वैसे तो वे Engineering की छात्रा हैं, लेकिन, पिछले कुछ महीनों में उन्होंने पट्टचित्र कला को सीखना शुरू किया और उसमें निपुणता हासिल कर ली है |","अपरतस्तु एषा आभियान्त्रिक-छात्रास्ति, परं विगतेषु मासेष्वनया पट्टचित्रकलायाः अभ्यासः आरब्धः, नैपुण्यं चाधिगतम्।"
764,"लेकिन, क्या आप जानते हैं, कि, उन्होंने paint कहाँ किया - Soft Stones!",एतत्कलायाः प्रयोगः तया ‘सॉफ्टस्टोन’ इत्येतेषु कृतः।
765,"Soft Stones पर|कॉलेज जाने के रास्ते में भाग्यश्री को ये Soft Stones मिले, उन्होंने, इन्हें एकत्र किया और साफ़ किया |","स्वीयमहा- विद्यालयस्य गमनागमनप्रसंगेषु तया प्रस्तराः संगृहीताः, स्वच्छीकृत्य, "
766,"बाद में, उन्होंने, रोजाना दो घंटे इन पत्थरों पर पट्टचित्र style में painting की |",चैतेषु पट्टचित्रकलायाः अभ्यासः आरब्धः।
767,"वह, इन पत्थरों को paint कर, उन्हें अपने दोस्तों को gift करने लगीं |",असौ चित्रित-प्रस्तरान् स्वीयमित्रेभ्यः उपहाररूपेण ददाति स्म।
768,लॉकडाउन के दौरान उन्होंने बोतलों पर भी paint करना शुरू कर दिया |,संचाररोधकाले सा कूपीष्वपि चित्रांकनम् आरभत।
769,अब तो वो इस Art पर workshops भी आयोजित करती हैं |,साम्प्रतं त्वसौ एतत्कलाविषये कार्यशालानामायोजनं करोति।
770,"कुछ दिन पहले ही, सुभाष बाबू की जयन्ती पर, भाग्यश्री ने, पत्थर पर ही, उन्हें, अनोखी श्रद्धांजलि दी |",कतिपयदिनपूर्वं सुभाषमहाभागस्य जयन्त्यवसरे तया पाषाणचित्राणां माध्यमेनैव अद्भुत-श्रद्धांजलयः समर्पिताः।
771,"मैं, भविष्य के उनके प्रयासों के लिए शुभकामनाएं देता हूँ |",अहं तस्यैः अनागत-प्रयासानां कृते शुभकामनाः व्याहरामि।
772,"Art and Colors के जरिए बहुत कुछ नया सीखा जा सकता है, किया जा सकता है |",चित्राणां वर्णानां च माध्यमेन नवाचाराणां अपरिमित-सम्भावनाः वर्तन्ते।
773,झारखण्ड के दुमका में किए गए एक ऐसे ही अनुपम प्रयास के बारे में मुझे बताया गया |,झारखण्डस्य दुमकाक्षेत्रे विधीयमानस्य एतादृक्प्रयासस्य विषयेऽहं सूचितोsस्मि।
774,"यहाँ, Middle School के एक Principal ने बच्चों को पढ़ाने और सिखाने के लिए गाँव की दीवारों को ही अंग्रेजी और हिंदी के अक्षरों से paint करवा दिया, साथ ही, उसमें, अलग-अलग चित्र भी बनाए गए हैं, इससे, गाँव के बच्चों को काफी मदद मिल रही है |",अत्र माध्यमिकविद्यालयस्य प्रधानाचार्येण बालानां पठनाधिगमनाय च ग्रामस्य भित्तिष्वेव आंग्ल-हिन्दी-भाषयोः अक्षराणि चित्रितानिएतेन ग्रामीणबालाः अतिशयं लाभमधिगच्छन्ति।
775,"मैं, ऐसे सभी लोगों का अभिनन्दन करता हूँ, जो, इस प्रकार के प्रयासों में लगे हैं |","अहमेतेषां सर्वेषामपि महानुभावानाम् अभिनन्दनं करोमि, ये एतादक्प्रयासेषु संवलिताः सन्ति।"
776,"मेरे प्यारे देशवासियो, भारत से हजारों किलोमीटर दूर, कई महासागरों, महाद्वीपों के पार एक देश है, जिसका नाम है Chile |","मम प्रियाः देशवासिनः, भारतात् सहस्राधिक- किलोमीटरदूरं महासागराणां महाद्वीपानां च पारमेकं ‘चिली’-नामकः देशः अस्ति।"
777,"भारत से Chile पहुँचने में बहुत अधिक समय लगता है, लेकिन, भारतीय संस्कृति की खुशबू, वहाँ बहुत समय पहले से ही फैली हुई है |",भारतात् चिलीगमनाय बहुकालः अपेक्षते परं भारतीयसंस्कृत्याः गन्धः तत्र पूर्वमेव प्रसरितोsस्ति।
778,"एक और खास बात ये है, कि, वहाँ पर योग बहुत अधिक लोकप्रिय है |",एतत्कारणेनात्र योगविद्या अतीव लोकप्रिया वर्तते।
779,आपको यह जानकार अच्छा लगेगा कि Chile की राजधानी Santiago में 30 से ज्यादा योग विद्यालय हैं |,भवन्तः एतज्ज्ञात्वा प्रसन्नाः भविष्यन्ति यच्चिली-देशस्य राजधान्यां सैन्टियागो-नगरे त्रिंशदधिकाः योगविद्यालयाः प्रचलन्ति।
