,Hindi,Kannada,devanagari_kannada
1007,"साथियो, श्री टी श्रीनिवासाचार्य स्वामी जी का जीवन इस बात का प्रत्यक्ष प्रमाण है, कि, जीवन, तब तक उर्जा से भरा रहता है, जब तक जीवन में जिज्ञासा नहीं मरती है, सीखने की चाह नहीं मरती है |","ಸ್ನೇಹಿತರೆ, ಜೀವನದಲ್ಲಿ ಎಲ್ಲಿಯವರೆಗೆ ಜಿಜ್ಞಾಸೆ ಜಾಗೃತವಾಗಿರುತ್ತದೆಯೋ, ಕಲಿಯಬೇಕೆಂಬ ಬಯಕೆ ಜೀವಂತವಾಗಿರುತ್ತದೆಯೋ ಅಲ್ಲಿವರೆಗೆ ಜೀವನ ಉತ್ತೇಜಿತವಾಗಿರುತ್ತದೆ ಎಂಬುದಕ್ಕೆ ಶ್ರೀ ಟಿ ಶ್ರೀನಿವಾಸಾಚಾರ್ಯ ಸ್ವಾಮಿ ಅವರ ಜೀವನ ಪ್ರತ್ಯಕ್ಷ ಸಾಕ್ಷಿಯಾಗಿದೆ.","स्नेहितरॆ, जीवनदल्लि ऎल्लियवरॆगॆ जिज्ञासॆ जागृतवागिरुत्तदॆयो, कलियबेकॆंब बयकॆ जीवंतवागिरुत्तदॆयो अल्लिवरॆगॆ जीवन उत्तेजितवागिरुत्तदॆ ऎंबुदक्कॆ श्री टि श्रीनिवासाचार्य स्वामि अवर जीवन प्रत्यक्ष साक्षियागिदॆ."
1008,"इसलिए, हमें कभी ये नहीं सोचना चाहिये कि हम पिछड़ गए, हम चूक गए |","ಆದ್ದರಿಂದ ನಾವು ಹಿಂದೆ ಉಳಿದುಬಿಟ್ಟೆವು, ತಪ್ಪು ಮಾಡಿದೆವು ಎಂದು ಯಾವತ್ತೂ ಯೋಚಿಸಬಾರದು.","आद्दरिंद नावु हिंदॆ उळिदुबिट्टॆवु, तप्पु माडिदॆवु ऎंदु यावत्तू योचिसबारदु."
1009,"हमें ये भी नहीं सोचना चाहिए कि हम नहीं सीख सकते, या आगे नहीं बढ़ सकते |","ನಾವು ಕಲಿಯಲಾಗುವುದಿಲ್ಲ, ಮುಂದುವರಿಯಲಾಗುವುದಿಲ್ಲ ಎಂದು ಕೂಡಾ ನಾವು ಯೋಚಿಸಬಾರದು.","नावु कलियलागुवुदिल्ल, मुंदुवरियलागुवुदिल्ल ऎंदु कूडा नावु योचिसबारदु."
1010,"मेरे प्यारे देशवाशियो, अभी हम, जिज्ञासा से, कुछ नया सीखने और करने की बात कर रहे थे |","ನನ್ನ ಪ್ರಿಯ ದೇಶ ಬಾಂಧವರೇ, ಈಗ ನಾವು ಜಿಜ್ಞಾಸೆಯಿಂದ ಹೊಸತನ್ನು ಕಲಿಯುವ ಮತ್ತು ಹೊಸತ್ನೇನಾದರೂ ಮಾಡುವ ಕುರಿತು ಮಾತನಾಡುತ್ತಿದ್ದೆವು.","नन्न प्रिय देश बांधवरे, ईग नावु जिज्ञासॆयिंद हॊसतन्नु कलियुव मत्तु हॊसत्नेनादरू माडुव कुरितु मातनाडुत्तिद्दॆवु."
1011,नए साल पर नए संकल्पों की भी बात कर रहे थे |,ಹೊಸ ವರ್ಷಕ್ಕೆ ಹೊಸ ಸಂಕಲ್ಪದ ಬಗ್ಗೆಯೂ ಮಾತನಾಡುತ್ತಿದ್ದೆವು.,हॊस वर्षक्कॆ हॊस संकल्पद बग्गॆयू मातनाडुत्तिद्दॆवु.
1012,"लेकिन, कुछ लोग ऐसे भी होते हैं जो लगातार कुछ-न-कुछ नया करते रहते हैं, नए-नए संकल्पों को सिद्ध करते रहते हैं |","ಆದರೆ ಕೆಲ ಜನರು ನಿರಂತರ ಹೊಸತು ಏನನ್ನಾದರೂ ಮಾಡುತ್ತಲೇ ಇರುವವರು ಇರುತ್ತಾರೆ, ಹೊಸ ಹೊಸ ಸಂಕಲ್ಪಗಳನ್ನು ಪೂರೈಸುತ್ತಲೇ ಇರುತ್ತಾರೆ.","आदरॆ कॆल जनरु निरंतर हॊसतु एनन्नादरू माडुत्तले इरुववरु इरुत्तारॆ, हॊस हॊस संकल्पगळन्नु पूरैसुत्तले इरुत्तारॆ."
1013,"आपने भी अपने जीवन में महसूस किया होगा, जब हम समाज के लिए कुछ करते हैं तो बहुत कुछ करने की उर्जा समाज हमें खुद ही देता है |",ನಾವು ಸಮಾಜಕ್ಕಾಗಿ ಏನನ್ನಾದರೂ ಮಾಡಿದಾಗ ಬಹಳಷ್ಟು ಸಾಧಿಸುವ ಶಕ್ತಿಯನ್ನು ಸ್ವತಃ ಸಮಾಜ ನಮಗೆ ನೀಡುತ್ತದೆ ಎಂಬುದನ್ನು ನೀವು ಕೂಡಾ ನಿಮ್ಮ ಜೀವನದಲ್ಲಿ ಅನುಭವಿಸಿರಬಹುದು.,नावु समाजक्कागि एनन्नादरू माडिदाग बहळष्टु साधिसुव शक्तियन्नु स्वतः समाज नमगॆ नीडुत्तदॆ ऎंबुदन्नु नीवु कूडा निम्म जीवनदल्लि अनुभविसिरबहुदु.
1014,सामान्य सी लगने वाली प्रेरणाओं से बहुत बड़े काम भी हो जाते हैं |,ಸಾಮಾನ್ಯವೆಂದೆನ್ನಿಸುವ ಪ್ರೇರಣೆಯಿಂದ ಕೂಡಾ ಬಹುದೊಡ್ಡ ಕೆಲಸಗಳಾಗುತ್ತವೆ.,सामान्यवॆंदॆन्निसुव प्रेरणॆयिंद कूडा बहुदॊड्ड कॆलसगळागुत्तवॆ.
1015,ऐसे ही एक युवा हैं श्रीमान प्रदीप सांगवान !,ಪ್ರದೀಪ್ ಸಂಗವಾನ್ ಇಂಥದೇ ಒಬ್ಬ ಯುವಕರಾಗಿದ್ದಾರೆ.,प्रदीप् संगवान् इंथदे ऒब्ब युवकरागिद्दारॆ.
1016,गुरुग्राम के प्रदीप सांगवान 2016 से Healing Himalayas नाम से अभियान चला रहे हैं |,ಗುರುಗ್ರಾಮ್ ನ ಪ್ರದೀಪ್ ಸಂಗವಾನ್ 2016 ರಲ್ಲಿ Healing Himalayas ಎಂಬ ಹೆಸರಿನ ಆಂದೋಲನವನ್ನು ಮುನ್ನಡೆಸುತ್ತಿದ್ದಾರೆ.,गुरुग्राम् न प्रदीप् संगवान् 2016 रल्लि Healing Himalayas ऎंब हॆसरिन आंदोलनवन्नु मुन्नडॆसुत्तिद्दारॆ.
1017,"वो अपनी टीम और volunteers के साथ हिमालय के अलग-अलग इलाकों में जाते हैं, और जो प्लास्टिक कचरा टूरिस्ट वहाँ छोड़कर जाते हैं, वो साफ करते हैं |",ಅವರು ತಮ್ಮ ತಂಡ ಮತ್ತು ಸ್ವಯಂ ಸೇವಕರೊಂದಿಗೆ ಹಿಮಾಲಯದ ಬೇರೆ ಬೇರೆ ಪ್ರದೇಶಗಳಿಗೆ ಹೋಗುತ್ತಾರೆ ಮತ್ತು ಅಲ್ಲಿ ಪ್ರವಾಸಿಗರು ಬಿಟ್ಟು ಹೋಗುವಂತಹ ಪ್ಲಾಸ್ಟಿಕ್ ಕಸವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾರೆ.,अवरु तम्म तंड मत्तु स्वयं सेवकरॊंदिगॆ हिमालयद बेरॆ बेरॆ प्रदेशगळिगॆ होगुत्तारॆ मत्तु अल्लि प्रवासिगरु बिट्टु होगुवंतह प्लास्टिक् कसवन्नु स्वच्छगॊळिसुत्तारॆ.
1018,प्रदीप जी अब तक हिमालय की अलग-अलग टूरिस्ट locations से टनों प्लास्टिक साफ कर चुके हैं |,ಪ್ರದೀಪ್ ಅವರು ಇಲ್ಲಿವರೆಗೆ ಹಿಮಾಲಯದ ಬೇರೆ ಬೇರೆ ಪ್ರವಾಸಿ ತಾಣಗಳಿಂದ ಟನ್ ಗಟ್ಟಲೇ ಪ್ಲಾಸ್ಟಿಕ್ ಕಸವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿದ್ದಾರೆ.,प्रदीप् अवरु इल्लिवरॆगॆ हिमालयद बेरॆ बेरॆ प्रवासि ताणगळिंद टन् गट्टले प्लास्टिक् कसवन्नु स्वच्छगॊळिसिद्दारॆ.
1019,"इसी तरह, कर्नाटका के एक युवा दंपति हैं, अनुदीप और मिनूषा |","ಹೀಗೆಯೇ, ಅನುದೀಪ್ ಮತ್ತು ಮಿನುಷಾ ಎಂಬ ಕರ್ನಾಟಕದ ಯುವ ದಂಪತಿ ಇದ್ದಾರೆ.","हीगॆये, अनुदीप् मत्तु मिनुषा ऎंब कर्नाटकद युव दंपति इद्दारॆ."
1020,अनुदीप और मिनूषा ने अभी पिछले महीने नवम्बर में ही शादी की है |,ಅನುದೀಪ್ ಮತ್ತು ಮಿನುಷಾ ಅವರು ಕಳೆದ ತಿಂಗಳು ನವೆಂಬರ್ ನಲ್ಲಿ ವಿವಾಹವಾಗಿದ್ದಾರೆ.,अनुदीप् मत्तु मिनुषा अवरु कळॆद तिंगळु नवॆंबर् नल्लि विवाहवागिद्दारॆ.
1021,"शादी के बाद बहुत से युवा घूमने फिरने जाते हैं, लेकिन इन दोनों ने कुछ अलग किया |",ವಿವಾಹದ ನಂತರ ಬಹಳಷ್ಟು ಯುವಜನತೆ ಸುತ್ತಾಡಲು ಹೋಗುತ್ತಾರೆ.ಆದರೆ ಇವರಿಬ್ಬರು ವಿಭಿನ್ನವಾದದ್ದನ್ನು ಮಾಡಿದ್ದಾರೆ.,विवाहद नंतर बहळष्टु युवजनतॆ सुत्ताडलु होगुत्तारॆ.आदरॆ इवरिब्बरु विभिन्नवादद्दन्नु माडिद्दारॆ.
1022,"ये दोनों हमेशा देखते थे कि लोग अपने घर से बाहर घूमने तो जाते हैं, लेकिन, जहाँ जाते हैं वहीँ ढ़ेर सारा कूड़ा-कचरा छोड़ कर आ जाते हैं |",ಜನರು ತಮ್ಮ ಮನೆಗಳಿಂದ ಹೊರಗೆ ಸುತ್ತಾಡಲು ಹೋಗುತ್ತಾರೆ ಆದರೆ ಹೋದಲ್ಲೆಲ್ಲ ಸಾಕಷ್ಟು ಕಸವನ್ನು ಬಿಟ್ಟು ಬರುತ್ತಾರೆ ಎಂಬುದನ್ನು ಇವರು ಗಮನಿಸಿದ್ದರು.,जनरु तम्म मनॆगळिंद हॊरगॆ सुत्ताडलु होगुत्तारॆ आदरॆ होदल्लॆल्ल साकष्टु कसवन्नु बिट्टु बरुत्तारॆ ऎंबुदन्नु इवरु गमनिसिद्दरु.
1023,कर्नाटका के सोमेश्वर beach पर भी यही स्थिति थी |,ಕರ್ನಾಟಕದ ಸೋಮೇಶ್ವರ ಕಡಲತೀರದಲ್ಲೂ ಇದೇ ಸ್ಥಿತಿಯಿತ್ತು.,कर्नाटकद सोमेश्वर कडलतीरदल्लू इदे स्थितियित्तु.
1024,"अनुदीप और मिनूषा ने तय किया कि वो सोमेश्वर beach पर, लोग, जो कचरा छोड़कर गए हैं, उसे साफ करेंगे |",ಸೋಮೇಶ್ವರ ಕಡಲತೀರದಲ್ಲಿ ಜನರು ಬಿಟ್ಟು ಹೋದ ಕಸವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುವುದಾಗಿ ಅನುದೀಪ್ ಮತ್ತು ಮಿನುಷಾ ನಿರ್ಧರಿಸಿದ್ದರು.,सोमेश्वर कडलतीरदल्लि जनरु बिट्टु होद कसवन्नु स्वच्छगॊळिसुवुदागि अनुदीप् मत्तु मिनुषा निर्धरिसिद्दरु.
1025,दोनों पति पत्नी ने शादी के बाद अपना पहला संकल्प यही लिया |,ವಿವಾಹದ ನಂತರ ಪತಿಪತ್ನಿಯರಿಬ್ಬರೂ ಇದನ್ನೇ ತಮ್ಮ ಪ್ರಥಮ ಸಂಕಲ್ಪವಾಗಿ ಕೈಗೊಂಡರು.,विवाहद नंतर पतिपत्नियरिब्बरू इदन्ने तम्म प्रथम संकल्पवागि कैगॊंडरु.
1026,दोनों ने मिलकर समंदर तट का काफी कचरा साफ कर डाला |,ಇಬ್ಬರೂ ಜೊತೆಗೂಡಿ ಸಮುದ್ರತೀರದ ಸಾಕಷ್ಟು ಕಸವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿದರು.,इब्बरू जॊतॆगूडि समुद्रतीरद साकष्टु कसवन्नु स्वच्छगॊळिसिदरु.
1027,अनुदीप ने अपने इस संकल्प के बारे में सोशल मीडिया पर भी share किया |,ತಮ್ಮ ಈ ಸಂಕಲ್ಪದ ಕುರಿತು ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲೂ ಅನುದೀಪ್ ಹಂಚಿಕೊಂಡರು.,तम्म ई संकल्पद कुरितु सामाजिक जालताणदल्लू अनुदीप् हंचिकॊंडरु.
1028,"फिर क्या था, उनकी इतनी शानदार सोच से प्रभावित होकर ढ़ेर सारे युवा उनके साथ आकर जुड़ गए |","ಇನ್ನೇನು, ಅವರ ಈ ಅದ್ಭುತ ವಿಚಾರದಿಂದ ಪ್ರೇರಿತರಾಗಿ ಸಾಕಷ್ಟು ಜನರು ಅವರೊಂದಿಗೆ ಕೈಜೋಡಿಸಿದರು.","इन्नेनु, अवर ई अद्भुत विचारदिंद प्रेरितरागि साकष्टु जनरु अवरॊंदिगॆ कैजोडिसिदरु."
1029,आप जानकर हैरान रह जाएंगे |इन लोगों ने मिलकर सोमेश्वर beach से 800 किलो से ज्यादा कचरा साफ किया है |,ಇವರೆಲ್ಲರೂ ಸೇರಿ ಸೋಮೇಶ್ವರ ಕಡಲತೀರದಲ್ಲಿ 800 ಕಿಲೋಗಿಂತ ಹೆಚ್ಚು ಕಸವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿದರು ಎಂಬುದನ್ನು ಕೇಳಿ ನೀವು ಆಶ್ಚರ್ಯಚಕಿತಗೊಳ್ಳುತ್ತೀರಿ.,इवरॆल्लरू सेरि सोमेश्वर कडलतीरदल्लि 800 किलोगिंत हॆच्चु कसवन्नु स्वच्छगॊळिसिदरु ऎंबुदन्नु केळि नीवु आश्चर्यचकितगॊळ्ळुत्तीरि.
1030,"साथियो, इन प्रयासों के बीच, हमें ये भी सोचना है कि ये कचरा इन beaches पर, इन पहाड़ों पर, पहुंचता कैसे है?","ಸ್ನೇಹಿತರೆ, ಈ ಪ್ರಯತ್ನಗಳ ಮಧ್ಯೆ, ಈ ಕಸ ಈ ಬೀಚ್ ಗಳ ಮೇಲೆ, ಈ ಬೆಟ್ಟಗಳ ಮೇಲೆ ಹೇಗೆ ತಲುಪಿತು ಎಂಬುದನ್ನು ನಾವು ಯೋಚಿಸಬೇಕಾಗುತ್ತದೆ.","स्नेहितरॆ, ई प्रयत्नगळ मध्यॆ, ई कस ई बीच् गळ मेलॆ, ई बॆट्टगळ मेलॆ हेगॆ तलुपितु ऎंबुदन्नु नावु योचिसबेकागुत्तदॆ."
1031,"आखिर, हम में से ही कोई लोग ये कचरा वहाँ छोड़कर आते हैं |",ನಮ್ಮಿಲ್ಲಿರುವ ಯಾರಾದರೊಬ್ಬರು ಈ ಕಸವನ್ನು ಅಲ್ಲಿ ಬಿಟ್ಟುಬರುತ್ತೇವೆ.,नम्मिल्लिरुव यारादरॊब्बरु ई कसवन्नु अल्लि बिट्टुबरुत्तेवॆ.
1032,हमें प्रदीप और अनुदीप-मिनूषा की तरह सफाई अभियान चलाना चाहिए |,"ಪ್ರದೀಪ್, ಅನುದೀಪ್–ಮೀನುಷಾ ಅವರಂತೆ ನಾವು ಸ್ವಚ್ಛತಾ ಅಭಿಯಾನವನ್ನು ಆರಂಭಿಸಬೇಕಿದೆ.","प्रदीप्, अनुदीप्–मीनुषा अवरंतॆ नावु स्वच्छता अभियानवन्नु आरंभिसबेकिदॆ."
1033,"लेकिन, उससे भी पहले हमें ये संकल्प भी लेना चाहिए, कि हम, कचरा फैलाएंगे ही नहीं |",ಆದರೆ ಅದಕ್ಕೂ ಮುಂಚೆ ನಾವು ಕಸವನ್ನು ಹರಡುವುದಿಲ್ಲ ಎಂದು ಸಂಕಲ್ಪಗೈಯ್ಯಬೇಕಿದೆ.,आदरॆ अदक्कू मुंचॆ नावु कसवन्नु हरडुवुदिल्ल ऎंदु संकल्पगैय्यबेकिदॆ.
1034,"आखिर, स्वच्छ भारत अभियान का भी तो पहला संकल्प यही है |",ಏಕೆಂದರೆ ಸ್ವಚ್ಛ ಭಾರತದ ಆಂದೋಲನದ ಸಂಕಲ್ಪವೂ ಇದೇ ಆಗಿತ್ತು.,एकॆंदरॆ स्वच्छ भारतद आंदोलनद संकल्पवू इदे आगित्तु.
1035,"हां, एक और बात मैं आपको याद दिलाना चाहता हूँ |","ಹಾಂ,ಮತ್ತೊಂದು ವಿಷಯವನ್ನು ನಿಮಗೆ ನೆನಪಿಸಬಯಸುತ್ತೇನೆ.","हां,मत्तॊंदु विषयवन्नु निमगॆ नॆनपिसबयसुत्तेनॆ."
1036,कोरोना की वजह से इस साल इसकी चर्चा उतनी हो नहीं पाई है |,ಕೊರೊನಾದಿಂದಾಗಿ ಇದರ ಬಗ್ಗೆ ಈ ವರ್ಷ ಅಷ್ಟೊಂದು ಚರ್ಚಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.,कॊरॊनादिंदागि इदर बग्गॆ ई वर्ष अष्टॊंदु चर्चिसलु साध्यवागुत्तिल्ल.
1037,हमें देश को single use plastic से मुक्त करना ही है |,ನಾವು ನಮ್ಮ ದೇಶವನ್ನು ಸಿಂಗಲ್ ಯೂಸ್ ಪ್ಲಾಸ್ಟಿಕ್ ನಿಂದ ಮುಕ್ತಗೊಳಿಸಲೇಬೇಕಿದೆ.,नावु नम्म देशवन्नु सिंगल् यूस् प्लास्टिक् निंद मुक्तगॊळिसलेबेकिदॆ.
1038,ये भी 2021 के संकल्पों में से एक है |,2021 ರ ಸಂಕಲ್ಪಗಳಲ್ಲಿ ಇದೂ ಒಂದಾಗಿದೆ.,2021 र संकल्पगळल्लि इदू ऒंदागिदॆ.
1039,"आखिर में, मैं आपको, नए वर्ष के लिए बहुत-बहुत शुभकामनाएं देता हूं |",ಕೊನೆಯದಾಗಿ ನಿಮ್ಮೆಲ್ಲರಿಗೂ ಹೊಸ ವರ್ಷದ ಅನಂತ ಶುಭಹಾರೈಕೆಗಳನ್ನು ತಿಳಿಸಬಯಸುತ್ತೇನೆ.,कॊनॆयदागि निम्मॆल्लरिगू हॊस वर्षद अनंत शुभहारैकॆगळन्नु तिळिसबयसुत्तेनॆ.
1040,"आप खुद स्वस्थ रहिए, अपने परिवार को स्वस्थ रखिए |",ಸ್ವತಃ ನೀವು ಆರೋಗ್ಯದಿಂದಿರಿ.ನಿಮ್ಮ ಕುಟುಂಬದ ಆರೋಗ್ಯವನ್ನು ರಕ್ಷಿಸಿ.,स्वतः नीवु आरोग्यदिंदिरि.निम्म कुटुंबद आरोग्यवन्नु रक्षिसि.
1041,अगले वर्ष जनवरी में नए विषयों पर ‘मन की बात’ होगी |,ಮುಂದಿನ ವರ್ಷ ಜನವರಿಯಲ್ಲಿ ಹೊಸ ವಿಷಯಗಳ ಬಗ್ಗೆ ‘ಮನದ ಮಾತುಗಳ’ನ್ನಾಡೋಣ.,मुंदिन वर्ष जनवरियल्लि हॊस विषयगळ बग्गॆ ‘मनद मातुगळ’न्नाडोण.
1042,बहुत-बहुत धन्यवाद |,ಅನಂತ ಅನಂತ ಧನ್ಯವಾದಗಳು,अनंत अनंत धन्यवादगळु
1043,"मन की बात, नवंबर 2020","ಮನ್ ಕಿ ಬಾತ್ , ನವೆಂಬರ್ 2020","मन् कि बात् , नवॆंबर् 2020"
1044,"मेरे प्यारे देशवासियो, नमस्कार |","ನನ್ನ ಪ್ರಿಯ ದೇಶವಾಸಿಗಳೇ, ನಮಸ್ಕಾರ.","नन्न प्रिय देशवासिगळे, नमस्कार."
1045,"‘मन की बात’ की शुरुआत में, आज, मैं, आप सबके साथ एक खुशखबरी साझा करना चाहता हूँ |","ಮನದ ಮಾತಿನ ಆರಂಭದಲ್ಲಿಯೇ, ಇಂದು ನಾನು ನಿಮ್ಮೆಲ್ಲರೊಂದಿಗೆ ಒಂದು ಸಂತೋಷದ ಸುದ್ದಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳಬಯಸುತ್ತೇನೆ.","मनद मातिन आरंभदल्लिये, इंदु नानु निम्मॆल्लरॊंदिगॆ ऒंदु संतोषद सुद्दियन्नु हंचिकॊळ्ळबयसुत्तेनॆ."
1046,"हर भारतीय को यह जानकर गर्व होगा, कि, देवी अन्नपूर्णा की एक बहुत पुरानी प्रतिमा, Canada से वापस भारत आ रही है |",ದೇವಿ ಅನ್ನಪೂರ್ಣೆಯ ಒಂದು ಪುರಾತನ ಪ್ರತಿಮೆ ಕೆನಡಾದಿಂದ ಭಾರತಕ್ಕೆ ಮರಳಿ ಬರುತ್ತಿದೆ ಎಂದು ಕೇಳಿ ಪ್ರತಿಯೊಬ್ಬ ಭಾರತೀಯನಿಗೆ ಹೆಮ್ಮೆಯೆನಿಸುತ್ತದೆ.,देवि अन्नपूर्णॆय ऒंदु पुरातन प्रतिमॆ कॆनडादिंद भारतक्कॆ मरळि बरुत्तिदॆ ऎंदु केळि प्रतियॊब्ब भारतीयनिगॆ हॆम्मॆयॆनिसुत्तदॆ.
1047,"यह प्रतिमा, लगभग, 100 साल पहले, 1913 के करीब, वाराणसी के एक मंदिर से चुराकर, देश से बाहर भेज दी गयी थी |",ಈ ಮೂರ್ತಿಯನ್ನು ಸುಮಾರು 100 ವರ್ಷಕ್ಕೂ ಹಿಂದೆ 1913 ರ ಆಸುಪಾಸು ವಾರಣಾಸಿಯ ಒಂದು ದೇವಾಲಯದಿಂದ ಕಳ್ಳತನ ಮಾಡಿ ದೇಶದಿಂದ ಹೊರಕ್ಕೆ ರವಾನಿಸಲಾಗಿತ್ತು.,ई मूर्तियन्नु सुमारु 100 वर्षक्कू हिंदॆ 1913 र आसुपासु वारणासिय ऒंदु देवालयदिंद कळ्ळतन माडि देशदिंद हॊरक्कॆ रवानिसलागित्तु.
1048,"मैं, Canada की सरकार और इस पुण्य कार्य को सम्भव बनाने वाले सभी लोगों का इस सहृदयता के लिये आभार प्रकट करता हूँ |",ಈ ಪುಣ್ಯ ಕಾರ್ಯವನ್ನು ಯಶಸ್ವಿಗೊಳಿಸಲು ಕೈಜೋಡಿಸಿದ ಕೆನಡಾ ಸರ್ಕಾರ ಮತ್ತು ಎಲ್ಲ ಜನರಿಗೆ ನಾನು ಕೃತಜ್ಞತೆ ಸಲ್ಲಿಸುತ್ತೇನೆ.,ई पुण्य कार्यवन्नु यशस्विगॊळिसलु कैजोडिसिद कॆनडा सर्कार मत्तु ऎल्ल जनरिगॆ नानु कृतज्ञतॆ सल्लिसुत्तेनॆ.
1049,"माता अन्नपूर्णा का, काशी से, बहुत ही विशेष संबंध है |",ಕಾಶಿಯೊಂದಿಗೆ ಮಾತೆ ಅನ್ನಪೂರ್ಣೆಯ ಸಂಬಂಧ ವಿಶೇಷವಾದದ್ದು.,काशियॊंदिगॆ मातॆ अन्नपूर्णॆय संबंध विशेषवादद्दु.
1050,"अब, उनकी प्रतिमा का, वापस आना, हम सभी के लिए सुखद है |",ಈಗ ಆ ಪ್ರತಿಮೆ ಮರಳಿ ಬರುತ್ತಿರುವುದು ನಮ್ಮೆಲ್ಲರಿಗೂ ನೆಮ್ಮದಿ ತಂದಿದೆ.,ईग आ प्रतिमॆ मरळि बरुत्तिरुवुदु नम्मॆल्लरिगू नॆम्मदि तंदिदॆ.
1051,"माता अन्नपूर्णा की प्रतिमा की तरह ही, हमारी विरासत की अनेक अनमोल धरोहरें, अंतर्राष्ट्रीय गिरोंहों का शिकार होती रही हैं |",ತಾಯಿ ಅನ್ನಪೂರ್ಣೆ ಪ್ರತಿಮೆಯಂತೆಯೇ ನಮ್ಮ ಪರಂಪರೆಯ ಅನೇಕ ಬಹುಮೂಲ್ಯ ಸಂಪತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಳ್ಳಸಾಗಣೆದಾರರ ಪಾಲಾಗುತ್ತಲೇ ಇದೆ.,तायि अन्नपूर्णॆ प्रतिमॆयंतॆये नम्म परंपरॆय अनेक बहुमूल्य संपत्तु अंताराष्ट्रीय कळ्ळसागणॆदारर पालागुत्तले इदॆ.
1052,"ये गिरोह, अंतर्राष्ट्रीय बाजार में, इन्हें, बहुत ऊँची कीमत पर बेचते हैं |",ಇಂಥ ಗುಂಪುಗಳು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಾರುಕಟ್ಟೆಗಳಲ್ಲಿ ಇವನ್ನು ಅತೀ ಹೆಚ್ಚಿನ ಬೆಲೆಗೆ ಮಾರಾಟ ಮಾಡುತ್ತವೆ.,इंथ गुंपुगळु अंताराष्ट्रीय मारुकट्टॆगळल्लि इवन्नु अती हॆच्चिन बॆलॆगॆ माराट माडुत्तवॆ.
1053,"अब, इन पर, सख्ती तो लगायी ही जा रही है, इनकी वापसी के लिए, भारत ने अपने प्रयास भी बढ़ायें हैं |",ಈಗ ಇವುಗಳ ಮೇಲೆ ಕಟ್ಟುನಿಟ್ಟು ಹೇರಲಾಗಿದೆ.ನಮ್ಮ ಬಹುಮೂಲ್ಯ ಸಂಪತ್ತನ್ನು ಮರಳಿ ತರಲು ಭಾರತ ತನ್ನ ಪ್ರಯತ್ನಗಳನ್ನು ಹೆಚ್ಚಿಸಿದೆ.,ईग इवुगळ मेलॆ कट्टुनिट्टु हेरलागिदॆ.नम्म बहुमूल्य संपत्तन्नु मरळि तरलु भारत तन्न प्रयत्नगळन्नु हॆच्चिसिदॆ.
1054,"ऐसी कोशिशों की वजह से बीते कुछ वर्षों में, भारत, कई प्रतिमाओं, और, कलाकृतियों को वापस लाने में सफल रहा है |",ಇಂಥ ಪ್ರಯತ್ನಗಳ ಪರಿಣಾಮ ಕಳೆದ ಕೆಲವು ವರ್ಷಗಳಲ್ಲಿ ಭಾರತ ಹಲವಾರು ಪ್ರತಿಮೆಗಳು ಮತ್ತು ಕಲಾಕೃತಿಗಳನ್ನು ಹಿಂದಕ್ಕೆ ಪಡೆಯುವಲ್ಲಿ ಯಶಸ್ವಿಯಾಗಿದೆ.,इंथ प्रयत्नगळ परिणाम कळॆद कॆलवु वर्षगळल्लि भारत हलवारु प्रतिमॆगळु मत्तु कलाकृतिगळन्नु हिंदक्कॆ पडॆयुवल्लि यशस्वियागिदॆ.
1055,"माता अन्नपूर्णा की प्रतिमा की वापसी के साथ, एक संयोग ये भी जुड़ा है, कि, कुछ दिन पूर्व ही World Heritage Week मनाया गया है |",ತಾಯಿ ಅನ್ನಪೂರ್ಣೆಯ ಪ್ರತಿಮೆಯನ್ನು ಹಿಂಪಡೆಯುವಿಕೆ ಜೊತೆಗೆ ಕೆಲ ದಿನಗಳ ಹಿಂದೆಯಷ್ಟೇ ವಿಶ್ವ ಪರಂಪರಾ ಸಪ್ತಾಹ ಆಚರಿಸಿರುವುದು ಕಾಕತಾಳೀಯವೆನಿಸಿದೆ.,तायि अन्नपूर्णॆय प्रतिमॆयन्नु हिंपडॆयुविकॆ जॊतॆगॆ कॆल दिनगळ हिंदॆयष्टे विश्व परंपरा सप्ताह आचरिसिरुवुदु काकताळीयवॆनिसिदॆ.
