,Kannada,Sanskrit,devanagari_kannada
837,ದೆಹಲಿಯಲ್ಲಿ ಈ ಮಾರುಕಟ್ಟೆ ಸೈಕಲ್ ಗಳು ಮತ್ತು ಆಟಿಕೆಗಳಿಗೆ ಬಹಳ ಪ್ರಸಿದ್ಧ ಎಂಬುದು ನಿಮ್ಮಲ್ಲಿ ಬಹಳಷ್ಟು ಜನರಿಗೆ ತಿಳಿದಿರಬಹುದು.,"भवत्सु अनेके अवगताः स्युः, दिल्ल्याम् एषा विपणी द्विचक्रिकाणां क्रीडनकानां च कृते विख्यातास्ति।",दॆहलियल्लि ई मारुकट्टॆ सैकल् गळु मत्तु आटिकॆगळिगॆ बहळ प्रसिद्ध ऎंबुदु निम्मल्लि बहळष्टु जनरिगॆ तिळिदिरबहुदु.
838,ಹಿಂದೆ ಅಲ್ಲಿ ದುಬಾರಿ ಆಟಿಕೆಗಳು ಎಂದರೆ ವಿದೇಶಿ ಆಟಿಕೆಗಳು ಎಂಬುದಾಗಿತ್ತು.ಅಗ್ಗದ ಆಟಿಕೆಗಳು ಕೂಡಾ ಹೊರದೇಶದಿಂದಲೇ ಬರುತ್ತಿದ್ದವು.,"पूर्वं तत्र महार्घ-क्रीडनकानां तात्पर्यमपि आसीत् – आयातितानि क्रीडनकानि, तथा च, अल्पार्घाणि क्रीडनकानि अपि बहिस्तः आगच्छन्ति स्म।",हिंदॆ अल्लि दुबारि आटिकॆगळु ऎंदरॆ विदेशि आटिकॆगळु ऎंबुदागित्तु.अग्गद आटिकॆगळु कूडा हॊरदेशदिंदले बरुत्तिद्दवु.
839,ಆದರೆ ಇಂದು ಅಲ್ಲಿಯ ಅಂಗಡಿಕಾರರು ಗ್ರಾಹಕರಿಗೆ ಒಳ್ಳೆ ಗುಣಮಟ್ಟದ ಆಟಿಕೆ ಏಕೆಂದರೆ ಇದು ಭಾರತದಲ್ಲಿ ಸಿದ್ಧವಾದದ್ದು ಮೇಡ್ ಇನ್ ಇಂಡಿಯಾ ಎಂದು ಕೂಗಿ ಕೂಗಿ ಮಾರಾಟ ಮಾಡುತ್ತಿದ್ದಾರೆ ಎಂದು ಅಭಿನವ್ ಅವರು ಪತ್ರದಲ್ಲಿ ಬರೆದಿದ್ದಾರೆ.,"परञ्च, अभिनव-महाशयः पत्रेsस्मिन् अलिखत् यत्, साम्प्रतम् अत्रत्याः अनेके आपणिकाः, उपभोक्तॄन् वारं वारम् एवम् उक्त्वा क्रीडनकानि विक्रीणन्ति यत् बाढम् इदं क्रीडनकं, यतो हि एतत् भारते विनिर्मितम् - ‘Made in India’ अस्ति।",आदरॆ इंदु अल्लिय अंगडिकाररु ग्राहकरिगॆ ऒळ्ळॆ गुणमट्टद आटिकॆ एकॆंदरॆ इदु भारतदल्लि सिद्धवादद्दु मेड् इन् इंडिया ऎंदु कूगि कूगि माराट माडुत्तिद्दारॆ ऎंदु अभिनव् अवरु पत्रदल्लि बरॆदिद्दारॆ.
840,ಗ್ರಾಹಕರು ಕೂಡಾ ಭಾರತದಲ್ಲಿ ತಯಾರಿಸಿದ ಆಟಿಕೆಗಳ ಬೇಡಿಕೆ ಇಡುತ್ತಿದ್ದಾರೆ.,"उपभोक्तारः अपि, भारते विनिर्मितानि क्रीडनकानि एव अभियाचन्ते।",ग्राहकरु कूडा भारतदल्लि तयारिसिद आटिकॆगळ बेडिकॆ इडुत्तिद्दारॆ.
841,ಈ ಒಂದು ಆಲೋಚನೆಯಲ್ಲಿ ಎಂಥ ದೊಡ್ಡ ಪರಿವರ್ತನೆ ಆಗಿದೆ ಎಂಬುದ್ಕೆ ಇದು ಜ್ವಲಂತ ನಿದರ್ಶನವಾಗಿದೆ.,"इदमेवास्ति, एतद्धि विचारधारायां कियत्-प्रकारकं महत् परिवर्तनं विद्यते – इदमस्ति साक्षात् जीवत्-साक्ष्यम्।",ई ऒंदु आलोचनॆयल्लि ऎंथ दॊड्ड परिवर्तनॆ आगिदॆ ऎंबुद्कॆ इदु ज्वलंत निदर्शनवागिदॆ.
842,ದೇಶದ ಜನತೆಯ ವಿಚಾರಗಳಲ್ಲಿ ಎಷ್ಟು ದೊಡ್ಡ ಬದಲವಣೆ ಆಗುತ್ತಿದೆ.ಅದು ಕೂಡಾ ಒಂದೇ ವರ್ಷದೊಳಗೆ.,"देशवासिनां विचारेषु कियत् बृहत् परिवर्तनमायाति, तच्चापि एकस्य वर्षस्य आभ्यन्तरे एव।",देशद जनतॆय विचारगळल्लि ऎष्टु दॊड्ड बदलवणॆ आगुत्तिदॆ.अदु कूडा ऒंदे वर्षदॊळगॆ.
843,ಈ ಪರಿವರ್ತನೆಯನ್ನು ಅಳೆಯುವುದು ಅಷ್ಟು ಸುಲಭವಲ್ಲ.,अस्य परिवर्तनस्य अङ्कनं सरलं नास्ति।,ई परिवर्तनॆयन्नु अळॆयुवुदु अष्टु सुलभवल्ल.
844,ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞರೂ ಇದನ್ನು ತಮ್ಮ ಮಾಪಕಗಳಲ್ಲಿ ಅಳೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ.,"अर्थशास्त्रिणोsपि, इदं निज-मानकाधारेण तोलयितुं नैव शक्नुवन्ति।",अर्थशास्त्रज्ञरू इदन्नु तम्म मापकगळल्लि अळॆयलु साध्यविल्ल.
845,"ಸ್ನೇಹಿತರೇ, ವಿಶಾಖಪಟ್ಟಣಂನಿಂದ ವೆಂಕಟ್ ಮುರಳೀಪ್ರಸಾದ್ ಅವರು ನನಗೆ ಬರೆದಿರುವದರಲ್ಲೂ ವಿಭಿನ್ನವಾದ idea ಇದೆ.","सखायः, विशाखापत्तनतः वेंकटमुरलीप्रसाद-महोदयः मह्यं पत्रं प्रेषितवान्तस्मिन् यत् लिखितं तद् अपि नूतनम् एव।","स्नेहितरे, विशाखपट्टणंनिंद वॆंकट् मुरळीप्रसाद् अवरु ननगॆ बरॆदिरुवदरल्लू विभिन्नवाद idea इदॆ."
846,"ನಿಮಗಾಗಿ twenty, twenty one ಗಾಗಿ, ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೊಂದಕ್ಕಾಗಿ ನಾನು ABC ಲಗತ್ತಿಸುತ್ತಿದ್ದೇನೆ ಎಂದು ವೆಂಕಟ್ ಅವರು ಬರೆದಿದ್ದಾರೆ.","वेङ्कटमहोदयः अलिखत् - अहं भवते विंशत्यै, एकविंशत्यै अर्थात् एकविंशत्यधिकद्विसहस्त्रतमाय ईशवीयवर्षाय स्वकीयं ABC इति प्रेषयामि।","निमगागि twenty, twenty one गागि, ऎरडु साविरद इप्पत्तॊंदक्कागि नानु ABC लगत्तिसुत्तिद्देनॆ ऎंदु वॆंकट् अवरु बरॆदिद्दारॆ."
847,ಇಷ್ಟಕ್ಕೂ ABC ಇಂದ ಜೊತೆಗೆ ಅವರಿಗಿರುವ ನಂಟೇನೆಂದು ನನಗೆ ಅರ್ಥವಾಗಲಿಲ್ಲ.,अहं न किमपि अवगतवान् यत् ABC इत्यनेन कः अभिप्रायः?,इष्टक्कू ABC इंद जॊतॆगॆ अवरिगिरुव नंटेनॆंदु ननगॆ अर्थवागलिल्ल.
848,"ಆದರೆ, ವೆಂಕಟ್ ಅವರು ತಮ್ಮ ಪತ್ರದ ಜೊತೆಗೆ ಒಂದು ಚಾರ್ಟನ್ನೂ ಲಗತ್ತಿಸಿದಿರುವುದನ್ನು ನಾನು ನೋಡಿದೆ.",तदा संलग्नकम् अपश्यम्।,"आदरॆ, वॆंकट् अवरु तम्म पत्रद जॊतॆगॆ ऒंदु चार्टन्नू लगत्तिसिदिरुवुदन्नु नानु नोडिदॆ."
849,"ನಾನು ಆ ಚಾರ್ಟನ್ನು ನೋಡಿದೆ, ಆಗ ನನಗೆ ತಿಳಿಯಿತು ಅವರು ಹೇಳಿದ ABC ಅರ್ಥವೇನೆಂದು – ಸ್ವಾವಲಂಬಿ ಭಾರತದ ಚಾರ್ಟ್ – ABC (ಆತ್ಮ ನಿರ್ಭರ್ ಭಾರತ್ ಚಾರ್ಟ್).",तेन ज्ञातं यत् ABC इत्यनेन अभिप्रायः अस्ति -आत्मनिर्भर-भारत-चार्ट इति।,"नानु आ चार्टन्नु नोडिदॆ, आग ननगॆ तिळियितु अवरु हेळिद ABC अर्थवेनॆंदु – स्वावलंबि भारतद चार्ट् – ABC (आत्म निर्भर् भारत् चार्ट्)."
850,ಇದು ಬಹಳ ಆಸಕ್ತಿಕರವಾಗಿದೆ.,रोचकमिदम् अवर्तत।,इदु बहळ आसक्तिकरवागिदॆ.
851,"ವೆಂಕಟ್ ಅವರು, ತಾವು ದಿನ ನಿತ್ಯ ಬಳಸುವಂಥ ಎಲ್ಲ ವಸ್ತುಗಳ ಸಂಪೂರ್ಣ ಪಟ್ಟಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿದ್ದಾರೆ.",वेंङ्कटमहोदयेन प्रतिदिनं प्रयोगवस्तूनां सूचिः विनिर्मिता।,"वॆंकट् अवरु, तावु दिन नित्य बळसुवंथ ऎल्ल वस्तुगळ संपूर्ण पट्टियन्नु सिद्धपडिसिद्दारॆ."
852,"ಅದರಲ್ಲಿ, electronics, stationery, ವೈಯಕ್ತಿಕ ಬಳಕೆಯ ಸಾಮಗ್ರಿಗಳಲ್ಲದೇ, ಇನ್ನೂ ಹಲವಾರು ವಸ್ತುಗಳು ಆ ಪಟ್ಟಿಯಲ್ಲಿವೆ.",एतस्याम् वैद्युदाणविक-शिक्षणसामग्री–सेल्फ-केयर् - इत्यादीनि अन्यानि च वस्तूनि सम्मिलितानि सन्ति।,"अदरल्लि, electronics, stationery, वैयक्तिक बळकॆय सामग्रिगळल्लदे, इन्नू हलवारु वस्तुगळु आ पट्टियल्लिवॆ."
853,"ನಾವು ತಿಳಿದೋ–ತಿಳಿಯದೇನೋ, ಕೆಲವು ವಿದೇಶಿ ವಸ್ತುಗಳನ್ನು ಬಳಸುತ್ತಿದ್ದೇವೆ ಆದರೆ, ಅವುಗಳ ಪರ್ಯಾಯ ವಸ್ತುಗಳು ನಮ್ಮ ಭಾರತದಲ್ಲಿ ಸುಲಭವಾಗಿ ಲಭ್ಯವಿವೆ ಎಂದು ವೆಂಕಟ್ ಹೇಳಿದ್ದಾರೆ.",वेङ्कटवर्यः अकथयत् यत् ज्ञाताज्ञातावस्थायां वयं तेषां विदेशनिर्मितानाम् उत्पादानां प्रयोगं कुर्मः येषां विकल्पाः सहजतया भारते उपलब्धाः सन्ति।,"नावु तिळिदो–तिळियदेनो, कॆलवु विदेशि वस्तुगळन्नु बळसुत्तिद्देवॆ आदरॆ, अवुगळ पर्याय वस्तुगळु नम्म भारतदल्लि सुलभवागि लभ्यविवॆ ऎंदु वॆंकट् हेळिद्दारॆ."
854,ನಮ್ಮ ದೇಶವಾಸಿಗಳ ಪರಿಶ್ರಮ ಮತ್ತು ಪ್ರತಿಫಲ ಇರುವಂಥ ಉತ್ಪನ್ನಗಳನ್ನೇ ಬಳಸುವುದಾಗಿ ಅವರು ಪ್ರಮಾಣ ಮಾಡಿದ್ದಾರೆ.,इदानीम् असौ शपथं स्वीकृतवान् - ‘केवलं तेषाम् उत्पादानां प्रयोगं करिष्यामि येषां निर्माणे भारतवासिनां श्रमः स्यात्।,नम्म देशवासिगळ परिश्रम मत्तु प्रतिफल इरुवंथ उत्पन्नगळन्ने बळसुवुदागि अवरु प्रमाण माडिद्दारॆ.
855,"ಗೆಳೆಯರೇ, ಆದರೆ ಅವರು ಇದರ ಜೊತೆಗೆ ಹೇಳಿದಂತಹ ಮತ್ತೊಂದು ವಿಷಯ ನನಗೆ ಬಹಳ ರೋಚಕವೆನಿಸಿತು.","’ सखायः, सहैव अनेन, एतादृशं लिखितं यन् मह्यम् अरोचत।","गॆळॆयरे, आदरॆ अवरु इदर जॊतॆगॆ हेळिदंतह मत्तॊंदु विषय ननगॆ बहळ रोचकवॆनिसितु."
856,"ನಾವು ಸ್ವಾವಲಂಬಿ ಭಾರತವನ್ನು ಸಮರ್ಥಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ, ಆದರೆ, ನಮ್ಮ ಉತ್ಪಾದಕರು, ಅವರು ತಮ್ಮ ಉತ್ಪನ್ನಗಳ ಗುಣಮಟ್ಟದ ವಿಷಯದಲ್ಲಿ ಯಾವುದೇ ರಾಜಿ ಮಾಡಿಕೊಳ್ಳಬಾರದು ಎಂಬ ಸಂದೇಶವೂ ಇರಬೇಕು ಎಂಬ ಮಾತನ್ನೂ ಅವರು ಹೇಳಿದ್ದಾರೆ.",असौ अलेखीत् - वयम् आत्मनिर्भरभारतं समर्थयामः परम् एतेन सह भारतीयेभ्यः उत्पादकेभ्यः अपि स्पष्टः सन्देशः भवेत् यत् तेषाम् उत्पादानां गुणवत्ताविषये अवधानं सर्वथा स्यात्।,"नावु स्वावलंबि भारतवन्नु समर्थिसिकॊळ्ळुत्तिद्देवॆ, आदरॆ, नम्म उत्पादकरु, अवरु तम्म उत्पन्नगळ गुणमट्टद विषयदल्लि यावुदे राजि माडिकॊळ्ळबारदु ऎंब संदेशवू इरबेकु ऎंब मातन्नू अवरु हेळिद्दारॆ."
857,ಅವರು ಹೇಳಿದ್ದೂ ಸರಿಯೇ.,विषयः तु उत्तमः।,अवरु हेळिद्दू सरिये.
858,"Zero effect, zero defect ಯೋಚನೆಯೊಂದಿಗೆ ಕೆಲಸ ಮಾಡುವ ಸಮಯ ಇದಾಗಿದೆ.","Zero effect, Zero defect- इति विचारेण कार्यं कर्तुम् उचितः कालः एषः।","Zero effect, zero defect योचनॆयॊंदिगॆ कॆलस माडुव समय इदागिदॆ."
859,ನಾನು ದೇಶದ ಉದ್ಯಮಿಗಳು ಮತ್ತು ಸರಕು ಉತ್ಪಾದಕರಲ್ಲಿ ಆಗ್ರಹಿಸುತ್ತೇನೆ. ,अहं देशस्य समवायान् उत्पादकनेतृवृन्दानि च प्रार्थये -,नानु देशद उद्यमिगळु मत्तु सरकु उत्पादकरल्लि आग्रहिसुत्तेनॆ. 
860,"ದೇಶದ ಜನತೆ ದೃಢ ಸಂಕಲ್ಪಗೈದಿದ್ದಾರೆ, ದೃಢವಾದ ಹೆಜ್ಜೆ ಮುಂದಿಟ್ಟಿದ್ದಾರೆ. Vocal for local ಎಂಬುದು ಈಗ ಪ್ರತಿ ಮನೆಯಲ್ಲಿಯೂ ಪ್ರತಿಧ್ವನಿಸುತ್ತಿದೆ."," देशवासिभिः सुदृढः पदक्षेपः सुचिन्तितः, प्रतिगृहं Vocal for Local इत्यस्य ध्वनिः गुञ्जितः अस्ति।","देशद जनतॆ दृढ संकल्पगैदिद्दारॆ, दृढवाद हॆज्जॆ मुंदिट्टिद्दारॆ. Vocal for local ऎंबुदु ईग प्रति मनॆयल्लियू प्रतिध्वनिसुत्तिदॆ."
861,ಇಂತಹ ಸಮಯದಲ್ಲಿ ನಮ್ಮ ಉತ್ಪನ್ನಗಳೂ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದ್ದಾಗಿವೆ ಎಂಬುದನ್ನ ನಾವು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು.,एषः समयः सुनिश्चितीकरणस्य समयः यदस्माकं उत्पादाः विश्वस्तरीयाः भवन्तु।,इंतह समयदल्लि नम्म उत्पन्नगळू अंताराष्ट्रीय मट्टद्दागिवॆ ऎंबुदन्न नावु खचितपडिसिकॊळ्ळबेकु.
862,"ಜಾಗತಿಕವಾಗಿ ಅತ್ಯುತ್ತಮವಾಗಿರುವುದನ್ನ, ನಾವು ಭಾರತದಲ್ಲಿ ತಯಾರಿಸಿ ತೋರಿಸೋಣ.",यत् विश्वप्रसिद्धं तद् भारते निर्मातुं यतामहे।,"जागतिकवागि अत्युत्तमवागिरुवुदन्न, नावु भारतदल्लि तयारिसि तोरिसोण."
863,ಇದಕ್ಕಾಗಿ ನಮ್ಮ ಉದ್ಯಮಿ ಮಿತ್ರರೆಲ್ಲಾ ಮುಂದೆ ಬರಬೇಕು.,एतदर्थम् उद्योगपतिभिः अग्रे आगन्तव्यम्।,इदक्कागि नम्म उद्यमि मित्ररॆल्ला मुंदॆ बरबेकु.
864,Start-up ಗಳೂ ಮುಂದೆ ಬರಬೇಕು.,Start-ups इति नवप्रकल्पाः अग्रे आगच्छेयुः।,Start-up गळू मुंदॆ बरबेकु.
865,ನಾನು ಮತ್ತೊಮ್ಮೆ ವೆಂಕಟ್ ಅವರ ಉತ್ತಮ ಪ್ರಯತ್ನಕ್ಕಾಗಿ ಅವರನ್ನು ಅಭಿನಂದಿಸುತ್ತೇನೆ.,पुनरेकवारम् अहं वेङ्कटमहोदयस्य उत्तमान् प्रयासान् वर्धापयामि।,नानु मत्तॊम्मॆ वॆंकट् अवर उत्तम प्रयत्नक्कागि अवरन्नु अभिनंदिसुत्तेनॆ.
866,"ಸ್ನೇಹಿತರೆ, ನಾವು ಈ ಭಾವನೆಯನ್ನು ನಿರಂತರವಾಗಿರಿಸಬೇಕು, ಜೋಪಾನವಾಗಿರಿಸಬೇಕು ಮತ್ತು ವೃದ್ಧಿಸುತ್ತಲೇ ಸಾಗಬೇಕು.","अयि भोः वयस्याः, एषा भावना अस्माभिः चिरं स्थापनीया रक्षणीया वर्धनीया च।","स्नेहितरॆ, नावु ई भावनॆयन्नु निरंतरवागिरिसबेकु, जोपानवागिरिसबेकु मत्तु वृद्धिसुत्तले सागबेकु."
867,"ನಾನು ಹಿಂದೆಯೂ ಹೇಳಿದ್ದೆ, ಇಂದು ಮತ್ತೊಮ್ಮೆ ದೇಶದ ಜನತೆಯನ್ನು ಆಗ್ರಹಿಸುತ್ತಿದ್ದೇನೆ.","पूर्वम् अपि मया कथितं, पुनरपि देशवासिनां समक्षम् आग्रहं करोमि।","नानु हिंदॆयू हेळिद्दॆ, इंदु मत्तॊम्मॆ देशद जनतॆयन्नु आग्रहिसुत्तिद्देनॆ."
868,ನೀವು ಒಂದು ಪಟ್ಟಿ ಮಾಡಿ.,भवन्तः अपि एकां सूचिं निर्मान्तु।,नीवु ऒंदु पट्टि माडि.
869,ನಾವು ದಿನಪೂರ್ತಿ ಬಳಸುವಂತಹ ವಸ್ತುಗಳ ಬಗ್ಗೆ ಆಲೋಚಿಸಿ ಮತ್ತು ನಮಗೆ ತಿಳಿಯದೆಯೇ ಯಾವ ವಿದೇಶದಲ್ಲಿ ಸಿದ್ಧವಾದ ವಸ್ತುಗಳು ನಮ್ಮ ಜೀವನದಲ್ಲಿ ಪ್ರವೇಶಿಸಿವೆ ಎಂಬುದನ್ನು ಗಮನಿಸಿ.,"प्रतिदिनं प्रयुक्त-वस्तूनां विवेचनं कुर्वन्तु? किं वस्तु, अनवधानेन विदेशनिर्मितं प्रयुज्यते?अस्माकं जीवने विदेशनिर्मितवस्तूनां समावेशः कीयत् अस्ति?",नावु दिनपूर्ति बळसुवंतह वस्तुगळ बग्गॆ आलोचिसि मत्तु नमगॆ तिळियदॆये याव विदेशदल्लि सिद्धवाद वस्तुगळु नम्म जीवनदल्लि प्रवेशिसिवॆ ऎंबुदन्नु गमनिसि.
870,"ಭಾರತದಲ್ಲಿ ಸಿದ್ಧಗೊಳ್ಳುವ ವಸ್ತುಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿಕೊಳ್ಳಿ, ಮತ್ತು ಭಾರತದಲ್ಲಿ ಕಷ್ಟಪಟ್ಟು ಬೆವರು ಸುರಿಸಿ ದುಡಿಯುವ ಜನರು ತಯಾರಿಸಿದ ಉತ್ಪನ್ನಗಳನ್ನು ನಾವು ಬಳಸಬೇಕೆಂದು ನಿರ್ಧರಿಸಿಕೊಳ್ಳಿ.",एतेषां विकल्पाः अस्माभिः चिन्तनीयाःएतत् अपि सुनिश्चितीकर्तव्यं यत् भारतनिर्मितं वस्तु एव प्रयुञ्ज्महे।,"भारतदल्लि सिद्धगॊळ्ळुव वस्तुगळन्नु आय्कॆमाडिकॊळ्ळि, मत्तु भारतदल्लि कष्टपट्टु बॆवरु सुरिसि दुडियुव जनरु तयारिसिद उत्पन्नगळन्नु नावु बळसबेकॆंदु निर्धरिसिकॊळ्ळि."
871,"ನೀವು ಪ್ರತಿವರ್ಷ ಹೊಸ ವರ್ಷದ ಸಂಕಲ್ಪ ಕೈಗೊಳ್ಳುತ್ತೀರಲ್ಲವೆ, ಈ ಬಾರಿ ನಿಮ್ಮ ದೇಶಕ್ಕೊಸ್ಕರವೂ ಒಂದು ಸಂಕಲ್ಪ ಕೈಗೊಳ್ಳಿ.","भवन्तः प्रतिवर्षं प्रतिज्ञां स्वीकुर्वन्ति, ऐषमः एका प्रतिज्ञा राष्ट्राय अपि अवश्यं भवतु।","नीवु प्रतिवर्ष हॊस वर्षद संकल्प कैगॊळ्ळुत्तीरल्लवॆ, ई बारि निम्म देशक्कॊस्करवू ऒंदु संकल्प कैगॊळ्ळि."
872,"ನನ್ನ ಪ್ರಿಯ ದೇಶಬಾಂಧವರೆ, ಭಯೋತ್ಪಾದಕರಿಂದ, ಅತ್ಯಾಚಾರಿಗಳಿಂದ, ದೇಶದ ಸಹಸ್ರಾರು ವರ್ಷಗಳ ಸಂಸ್ಕೃತಿ, ಸಭ್ಯತೆ, ನಮ್ಮ ರೀತಿ ನೀತಿಗಳನ್ನು ಉಳಿಸಿಕೊಳ್ಳಲು ಎಷ್ಟು ದೊಡ್ಡ ಬಲಿದಾನಗೈಯ್ಯಲಾಗಿದೆ ಎಂಬುದನ್ನು ನೆನೆಯುವ ದಿನವೂ ಇದಾಗಿದೆ.","मम प्रियाः देशवासिनः, अस्माकं देशेन आततायिभ्यः अत्याचारिभ्यश्च देशस्य पुरातनसंस्कृतेः संरक्षणाय नैकानि बलिदानानि प्रदत्तानि सन्ति, तानि स्मर्तुम् अपि अद्यतनं दिनम्।","नन्न प्रिय देशबांधवरॆ, भयोत्पादकरिंद, अत्याचारिगळिंद, देशद सहस्रारु वर्षगळ संस्कृति, सभ्यतॆ, नम्म रीति नीतिगळन्नु उळिसिकॊळ्ळलु ऎष्टु दॊड्ड बलिदानगैय्यलागिदॆ ऎंबुदन्नु नॆनॆयुव दिनवू इदागिदॆ."
873,"ಇಂದಿನ ದಿನವೇ ಗುರು ಗೋವಿಂದರ ಪುತ್ರರು, ಸಾಹಿಬ್ ಜಾದೆ ಜೋರಾವರ್ ಸಿಂಗ್ ಮತ್ತು ಫತೇಹ್ ಸಿಂಗ್ ಅವರನ್ನು ಗೋಡೆಯಲ್ಲಿ ಜೀವಂತ ಸಮಾಧಿ ಮಾಡಲಾಗಿತ್ತು.",अद्यतन एव दिवसे गुरुगोविन्दसिहंवर्यस्य पुत्रौ जोरावरसिहः फतेहसिंहः च जीविता- वस्थायां भित्तौ पिहितीकृतौ आस्ताम्।,"इंदिन दिनवे गुरु गोविंदर पुत्ररु, साहिब् जादॆ जोरावर् सिंग् मत्तु फतेह् सिंग् अवरन्नु गोडॆयल्लि जीवंत समाधि माडलागित्तु."
874,"ಸಾಹಿಬ್ ಜಾದೆ ತಮ್ಮ ನಂಬಿಕೆಯನ್ನು ಬಿಟ್ಟುಬಿಡಲಿ, ಮಹಾನ್ ಗುರು ಪರಂಪರೆಯ ಕಲಿಕೆಯನ್ನು ಬಿಟ್ಟುಬಿಡಲಿ ಎಂದು ದುಷ್ಕರ್ಮಿಗಳು ಬಯಸಿದ್ದರು.","अत्याचारिणः वाञ्छन्ति स्मः यत् साहिबज़ादे इति युवराजाः स्वकीयाम् आस्थां त्यजेयुः, महद्-गुरुपरम्परां च परित्यजेयुः।","साहिब् जादॆ तम्म नंबिकॆयन्नु बिट्टुबिडलि, महान् गुरु परंपरॆय कलिकॆयन्नु बिट्टुबिडलि ऎंदु दुष्कर्मिगळु बयसिद्दरु."
875,ಆದರೆ ನಮ್ಮ ಸಾಹಿಬ್ ಜಾದೆಯವರು ಇಂಥ ಪುಟ್ಟ ವಯಸ್ಸಿನಲ್ಲೂ ಅದ್ಭುತವಾದ ಸಾಹಸವನ್ನು ತೋರಿದರು.ಇಚ್ಛಾಶಕ್ತಿಯನ್ನು ತೋರಿದರು.,"परम् अस्माकं वीरयुवराजैः सत्यपि लघु- वयसि अद्भुतः साहसः प्रदर्शितः, इच्छाशक्तिः च प्रदर्शिता।",आदरॆ नम्म साहिब् जादॆयवरु इंथ पुट्ट वयस्सिनल्लू अद्भुतवाद साहसवन्नु तोरिदरु.इच्छाशक्तियन्नु तोरिदरु.
876,"ಗೋಡೆಯಲ್ಲಿ ಸಮಾಧಿ ಮಾಡುತ್ತಿರುವಾಗ, ಕಲ್ಲುಗಳನ್ನು ಜೋಡಿಸಲಾಗುತ್ತಿತ್ತು, ಗೋಡೆ ಎತ್ತರಕ್ಕೆ ಏರುತ್ತಿತ್ತು, ಆದರೂ ಅವರು ಧೃತಿಗೆಡಲಿಲ್ಲ.",आततायिनः तौ यदा भित्तौ पूरयन्तः आसन् – यथा यथा मृत्युः निकटम् आसीत् तथापि एतौ न भयभीतौ।,"गोडॆयल्लि समाधि माडुत्तिरुवाग, कल्लुगळन्नु जोडिसलागुत्तित्तु, गोडॆ ऎत्तरक्कॆ एरुत्तित्तु, आदरू अवरु धृतिगॆडलिल्ल."
877,ಇಂದಿನ ದಿನವೇ ಗುರುಗೋವಿಂದರ ತಾಯಿ – ಮಾತಾ ಗುಜ್ಜರಿಯವರೂ ದೈವಾಧೀನರಾದರು.,अद्यतने एव दिवसे गुरुगोविन्दसिहंवर्यस्य मात्रा ‘माता-गुजरी’- इत्यनयापि प्राणाहुतिः प्रदत्ता आसीत्।,इंदिन दिनवे गुरुगोविंदर तायि – माता गुज्जरियवरू दैवाधीनरादरु.
878,"ಸುಮಾರು ಒಂದು ವಾರದ ಹಿಂದೆ, ಶ್ರೀ ಗುರು ತೇಗ್ ಬಹಾದೂರ್ ಅವರ ಬಲಿದಾನದ ದಿನವಿತ್ತು.",प्रायशः एकसप्ताहपूर्वं गुरुगोविन्द-सिहंवर्यस्य अपि पुण्यतिथिः आसीत्।,"सुमारु ऒंदु वारद हिंदॆ, श्री गुरु तेग् बहादूर् अवर बलिदानद दिनवित्तु."
879,ನನಗೆ ಇಲ್ಲಿ ದೆಹಲಿಯಲ್ಲಿ ರಕಾಬ್ ಗಂಜ್ ಗುರುದ್ವಾರಕ್ಕೆ ತೆರಳಿ ಗುರು ತೇಗ್ ಬಹಾದೂರ್ ಅವರಿಗೆ ಶೃದ್ಧಾ ಸಮರ್ಪಪಣೆ ಸಲ್ಲಿಸುವ ಮತ್ತು ನಮಿಸುವ ಅವಕಾಶ ದೊರೆಯಿತು.,अहम् अत्र देहल्यां गुरुद्वारा-रकाबगञ्ज-इत्यत्र गत्वा गुरुतेगबहादुरवर्यं प्रति श्रद्धाकुसुमाञ्जलिप्रदानस्य अवसरं प्राप्तवान्।,ननगॆ इल्लि दॆहलियल्लि रकाब् गंज् गुरुद्वारक्कॆ तॆरळि गुरु तेग् बहादूर् अवरिगॆ शृद्धा समर्पपणॆ सल्लिसुव मत्तु नमिसुव अवकाश दॊरॆयितु.
880,ಇದೇ ತಿಂಗಳು ಶ್ರೀ ಗುರು ಗೋವಿಂದ್ ಸಿಂಗ್ ಜಿ ಅವರಿಂದ ಪ್ರೇರಿತರಾದ ಅನೇಕರು ನೆಲದ ಮೇಲೆ ಮಲಗುತ್ತಾರೆ.,अस्मिन् एव मासे श्रीगुरुगोविन्दसिंह-प्रेरिताः अनेके जनाः भूमौ शयनं कुर्वन्ति।,इदे तिंगळु श्री गुरु गोविंद् सिंग् जि अवरिंद प्रेरितराद अनेकरु नॆलद मेलॆ मलगुत्तारॆ.
